Time (s),Pack Voltage (V),Pack Current (A),Pack Power (kW),Avg Cell Temperature (C),SOC (%),Max Cell Voltage (V),Min Cell Voltage (V),Max Cell Resistance (mOhm)
0.00,311.6,216,67.38,29.8,85.52,3.89,3.55,19.39
0.01,331.9,72,24.02,28.8,97.67,3.82,3.56,41.29
0.02,301.4,163,49.19,48.4,85.05,4.00,3.61,24.22
0.03,379.5,202,76.71,24.1,92.98,4.01,3.50,40.34
0.04,315.1,297,93.58,33.4,81.15,3.99,3.43,17.99
0.05,384.0,293,112.45,44.6,88.19,4.08,3.36,16.59
0.06,335.2,82,27.52,41.8,92.82,3.71,3.36,25.67
0.07,350.9,75,26.20,26.8,97.79,4.03,3.58,22.86
0.08,305.6,97,29.60,38.8,94.89,4.16,3.46,16.70
0.09,310.2,262,81.17,44.8,93.09,4.07,3.41,16.96
0.10,348.1,82,28.63,45.3,96.73,3.96,3.60,27.72
0.11,348.0,153,53.31,20.2,92.38,4.05,3.52,35.69
0.12,388.9,105,40.74,25.0,98.16,3.85,3.26,41.35
0.13,378.4,98,37.10,40.0,96.77,3.80,3.20,20.01
0.14,328.2,275,90.13,49.6,85.40,3.75,3.59,11.09
0.15,397.0,146,57.90,21.6,83.08,3.73,3.26,33.05
0.16,377.5,205,77.32,23.8,84.22,3.75,3.44,18.49
0.17,362.8,215,77.86,42.4,88.82,4.05,3.50,37.90
0.18,393.7,94,37.16,49.9,86.33,3.80,3.60,17.94
0.19,351.4,55,19.40,30.5,92.07,3.77,3.39,46.78
0.20,383.6,79,30.22,42.6,84.97,4.20,3.60,10.38
0.21,357.3,185,66.04,38.8,81.78,3.94,3.68,36.15
0.22,324.0,110,35.68,44.9,87.96,4.11,3.54,11.32
0.23,320.6,64,20.44,45.1,97.14,4.04,3.51,20.42
0.24,359.9,244,87.86,38.2,99.22,4.16,3.55,41.69
0.25,354.3,298,105.60,25.8,94.09,3.79,3.36,24.55
0.26,363.8,143,51.86,26.8,94.44,3.78,3.43,20.96
0.27,378.0,180,68.04,26.2,86.42,3.84,3.26,35.19
0.28,306.0,279,85.44,31.7,86.28,4.11,3.33,48.97
0.29,376.3,55,20.73,23.8,91.24,4.07,3.27,37.87
0.30,324.8,209,67.97,40.8,92.89,4.02,3.37,32.70
0.31,368.5,202,74.62,24.1,90.62,4.12,3.21,42.73
0.32,325.7,150,49.00,39.2,92.50,3.90,3.62,29.33
0.33,307.5,250,76.93,31.7,87.06,4.17,3.51,45.03
0.34,335.0,75,25.09,24.8,88.19,4.04,3.41,31.28
0.35,388.3,178,69.08,40.3,92.87,3.81,3.67,25.01
0.36,330.7,114,37.72,43.5,99.94,4.08,3.62,30.24
0.37,361.9,172,62.24,48.1,86.78,4.05,3.59,16.93
0.38,383.6,126,48.31,28.7,94.05,3.84,3.35,23.40
0.39,351.0,294,103.13,23.6,82.99,3.90,3.56,24.94
0.40,389.0,291,113.15,49.4,83.78,3.75,3.65,40.74
0.41,354.4,202,71.49,30.7,83.53,3.82,3.52,39.25
0.42,361.2,106,38.22,22.1,99.69,3.88,3.52,11.87
0.43,320.8,146,46.90,48.2,98.76,3.89,3.68,41.86
0.44,328.1,216,70.72,45.4,87.07,4.13,3.63,39.13
0.45,352.5,289,101.78,24.5,91.97,3.75,3.50,21.68
0.46,369.7,284,104.94,35.8,80.92,3.86,3.40,45.95
0.47,375.2,63,23.47,24.9,80.91,4.16,3.54,37.30
0.48,357.9,60,21.56,27.5,94.60,3.73,3.21,20.53
0.49,394.5,177,69.89,44.7,87.27,3.82,3.70,13.48
0.50,326.8,280,91.59,31.6,85.17,4.18,3.32,30.43
0.51,344.9,154,52.99,46.8,80.97,3.92,3.25,31.17
0.52,361.2,221,79.69,29.2,98.85,4.10,3.68,47.84
0.53,391.4,275,107.52,46.1,80.75,3.92,3.69,40.10
0.54,342.7,226,77.36,40.5,81.70,4.00,3.29,29.35
0.55,312.9,245,76.59,43.6,99.47,3.99,3.61,15.17
0.56,362.6,140,50.72,40.4,92.64,3.74,3.33,23.31
0.57,382.6,179,68.43,32.6,88.64,4.18,3.63,24.16
0.58,302.2,179,54.19,26.6,90.43,4.06,3.32,10.91
0.59,371.2,102,37.99,48.9,96.71,3.74,3.68,29.31
0.60,390.3,180,70.31,49.1,84.67,4.14,3.29,21.51
0.61,353.9,97,34.25,32.2,87.17,3.85,3.49,34.02
0.62,318.8,115,36.73,39.6,92.88,4.04,3.64,14.28
0.63,326.2,192,62.49,33.6,96.92,3.91,3.65,46.60
0.64,315.0,230,72.31,43.9,99.77,4.04,3.28,46.91
0.65,399.5,163,65.17,25.9,81.66,3.86,3.67,29.31
0.66,333.0,254,84.54,24.9,88.63,3.87,3.49,30.96
0.67,394.9,128,50.37,25.7,88.30,4.16,3.51,35.66
0.68,395.4,179,70.88,31.6,89.22,4.06,3.51,25.58
0.69,346.9,202,70.15,31.1,92.12,3.98,3.36,17.71
0.70,380.8,164,62.35,36.8,86.94,3.73,3.39,47.26
0.71,375.1,122,45.83,32.4,81.49,4.04,3.50,18.06
0.72,340.8,201,68.58,37.2,95.45,3.94,3.56,11.63
0.73,393.6,253,99.44,38.7,92.28,4.05,3.65,44.46
0.74,320.6,248,79.63,44.8,95.38,4.07,3.53,15.61
0.75,385.5,208,80.06,22.0,97.06,4.08,3.34,18.13
0.76,322.8,293,94.68,31.6,80.51,4.19,3.61,12.43
0.77,300.4,249,74.80,45.0,81.91,3.90,3.62,44.91
0.78,364.4,285,103.77,42.0,87.39,3.97,3.66,31.78
0.79,349.5,197,68.97,29.2,98.80,3.73,3.67,32.10
0.80,397.4,176,70.12,47.6,94.46,3.99,3.28,38.29
0.81,383.7,109,41.77,37.7,94.24,4.15,3.30,18.10
0.82,399.7,298,119.08,40.2,86.96,3.79,3.57,18.45
0.83,369.2,134,49.41,34.5,84.41,4.02,3.37,39.32
0.84,338.4,70,23.75,22.6,98.43,3.76,3.45,11.19
0.85,329.0,278,91.63,31.2,96.50,3.86,3.62,42.27
0.86,370.4,86,31.86,39.7,92.51,3.83,3.53,29.92
0.87,359.8,208,74.88,37.8,97.61,4.10,3.53,21.31
0.88,317.0,159,50.44,35.1,98.63,3.79,3.21,28.14
0.89,315.5,176,55.44,43.7,95.57,3.85,3.61,38.29
0.90,307.8,125,38.52,35.7,97.31,3.75,3.50,49.52
0.91,319.1,257,81.88,37.8,87.41,3.86,3.58,41.45
0.92,344.8,173,59.82,21.2,86.66,3.78,3.33,14.79
0.93,347.8,268,93.04,46.8,82.70,3.80,3.52,31.96
0.94,364.1,267,97.09,45.4,99.54,3.78,3.30,30.80
0.95,333.2,67,22.38,20.5,93.84,4.17,3.55,49.17
0.96,361.0,277,99.96,36.8,97.25,4.07,3.37,38.26
0.97,300.9,237,71.40,33.4,82.50,3.91,3.41,34.00
0.98,343.0,207,71.11,41.9,98.22,3.73,3.48,32.00
0.99,396.0,237,93.82,31.8,82.94,3.92,3.57,14.65
1.00,342.5,57,19.37,39.2,84.61,3.93,3.63,44.70
1.01,396.3,133,52.79,28.2,89.04,4.04,3.28,35.28
1.02,311.7,150,46.90,45.6,94.88,3.80,3.24,46.06
1.03,344.0,121,41.71,43.4,97.71,4.13,3.49,36.01
1.04,316.0,92,29.06,41.5,85.90,3.90,3.40,33.35
1.05,372.3,251,93.44,46.8,99.46,3.92,3.33,28.71
1.06,329.6,164,54.16,33.8,87.31,4.00,3.24,43.69
1.07,334.6,185,61.99,32.1,84.82,3.87,3.59,49.43
1.08,374.1,265,99.19,30.4,91.93,4.06,3.59,42.11
1.09,316.5,189,59.96,24.7,85.70,3.83,3.68,25.78
1.10,359.8,289,104.10,43.1,95.13,3.79,3.48,15.73
1.11,382.8,130,49.94,35.6,85.19,3.96,3.30,42.56
1.12,362.7,128,46.40,21.6,81.10,3.89,3.40,49.27
1.13,394.3,187,73.89,31.3,94.70,3.96,3.37,15.25
